,comments,sent,score
0,"Loved this upload, Parkev Tatevosian, CFA. I broke that thumbs up icon on your content. Continue to keep the superior work. Can&#39;t wait to see your next upload from you.",POSITIVE,0.9997684359550476
1,We will see how stock may go down on great earnings 😅,POSITIVE,0.6737707853317261
2,"Thanks Professor, Alphabet stock analysis after the quarterly report please",POSITIVE,0.9865356087684631
3,You’re explanations are very helpful. Thank you,POSITIVE,0.9998372793197632
4,Was waiting for this one. Thank you Sir,POSITIVE,0.9996920824050903
5,"Short, clear, and educational for me.",POSITIVE,0.9987853169441223
6,Thanks for the analysis,POSITIVE,0.9997522234916687
7,Great video as always professor!,POSITIVE,0.999872088432312
8,"please also share if you have invested in that specific days you discuss about specific stocks,,,",POSITIVE,0.9981777667999268
9,Well explained keep up the good content professor,POSITIVE,0.9998338222503662
10,"🧮 Stock Valuation Model: <a href=""https://www.buymeacoffee.com/dividendtalks/extras"">https://www.buymeacoffee.com/dividendtalks/extras</a><br><br>☕️ Feel free to buy me a coffee: <a href=""https://www.buymeacoffee.com/DIVIDENDTALKS"">https://www.buymeacoffee.com/DIVIDENDTALKS</a><br><br>📰 Join the FREE weekly Newsletter: <a href=""http://dividendtalks.substack.com/subscribe"">DividendTalks.substack.com/subscribe</a> <br><br>20% OFF Seeking Alpha Premium:<br><a href=""https://www.sahg6dtr.com/29N4DP9/R74QP"">https://www.sahg6dtr.com/29N4DP9/R74QP</a><br><br>💬 Join the community in our Discord: <a href=""https://www.patreon.com/DividendTalks"">https://www.patreon.com/DividendTalks</a><br><br>👋 Follow me on X: <a href=""http://www.x.com/DividendTalks"">www.x.com/DividendTalks</a><br><br>💰 Free shares up to £100 by joining Trading212:<br><a href=""https://www.trading212.com/invite/Gux0x99S"">https://www.trading212.com/invite/Gux0x99S</a>",NEGATIVE,0.9968332648277283
11,buy Amazon every week so far 27 shares low income i buy 200 a month so basically 1 share a month aiming for 100,NEGATIVE,0.9980065226554871
12,Great analysis! Thanks! What do you think about $VRT?,POSITIVE,0.9992409944534302
