,comments,sent,score
0,"I use IBKR to invest in international stocks: <a href=""https://www.interactivebrokers.com/mkt/?src=pntinvY&amp;url=%2Fen%2Fhome.php"">https://www.interactivebrokers.com/mkt/?src=pntinvY&amp;url=%2Fen%2Fhome.php</a>",NEGATIVE,0.9945025444030762
1,It’s a no brainer<br>It’s a buy even at current price. Can’t really lose,POSITIVE,0.9985387325286865
2,I like how you looked at the forward P/E but also did your own valuation based on margins/growth/etc. I prefer the latter because it shows underlying assumptions. I do not mind buying P/E that is ABOVE the mean as long as underlying value based on cashflows are reasonable.,NEGATIVE,0.7485028505325317
3,I m holding GOOGL long  w/ an average 86.38.,NEGATIVE,0.9952529668807983
4,Amazing company. Luckily I got in around 100 in 2023. Seems a bit pricy now but I might consider adding a bit more if it dips below 140,NEGATIVE,0.7669479250907898
5,I think all will depend on next week&#39;s results..Still a lot of money concentrated in the magnificent 7.,NEGATIVE,0.9777176380157471
6,nice. I added a position at 174.50..  I am waiting to average down some more,POSITIVE,0.9955480098724365
7,It would be really great to see a livestream / Q n A type of sessions with you once in a while.,POSITIVE,0.9990554451942444
8,Thank you. At which price would you consider buying Amazon?,POSITIVE,0.9992207288742065
9,i bought the google visa and nvidia dip . 10k spent in total,NEGATIVE,0.9946235418319702
10,"Do you own Google Stock? Are you buying now?<br>💻 The Best Stock Research Tool: <a href=""https://www.dividenddata.com/"">https://www.dividenddata.com/</a><br>Weekly Newsletter: <a href=""https://dividenddata.beehiiv.com/subscribe"">https://dividenddata.beehiiv.com/subscribe</a><br>Follow on X: <a href=""https://twitter.com/dividend_data"">https://twitter.com/dividend_data</a>",NEGATIVE,0.8341991305351257
11,What would be the best 5 etfs for a foreign beginner,POSITIVE,0.9985955357551575
12,"My portfolio for the past 30 years has always been self managed and I own 3 shares of Berkshire Hathaway Class A stock (BRK:A) which I bought in at about $17,000 during the mid 90s, I’m currently liquidating some of these positions to incorporate new Gen. Stocks, but am I better off re-investing into Gold as it seems stocks are a little too unstable right now.",NEGATIVE,0.9987542629241943
13,"As an investment enthusiast, I&#39;m intrigued by how top-tier investors manage to become millionaires through their investments. While I have a substantial amount of initial capital, I&#39;m uncertain about the strategies and approaches necessary to achieve returns exceeding $400k, as some have done this season.",NEGATIVE,0.6001580953598022
14,Google is a good pick,POSITIVE,0.9993122816085815
15,You just released a video about buying $V hours after I added it to my portfolio.<br><br>You’ve now released a video about buying $GOOGL and it’s the next one on my list I’m likely to add (looks very attractive at these prices).<br><br>Clever minds think alike 🤝 <br><br>Keep up the great work my friend 😊,POSITIVE,0.9767197966575623
16,Great analysis,POSITIVE,0.9998302459716797
17,"Your videos are great, man. Tks!",POSITIVE,0.9998705387115479
18,"The two stocks I’ve been looking at were Visa and Google, awesome stuff ❤",POSITIVE,0.99858558177948
19,Yes will add more soon,POSITIVE,0.9996665716171265
20,"Competition among different companies is always good, therefore it’s beneficial that Google is competing with OpenAI.",POSITIVE,0.9995632767677307
21,Idk who is more powerful but Open AI definitely stole the wow effect from this vid,POSITIVE,0.9709779024124146
22,Its basically the same as the OpenAI Announcment but more corporate,NEGATIVE,0.9053744077682495
23,"<a href=""https://www.youtube.com/watch?v=PE89NysJEUY&amp;t=302"">5:02</a> The AI integrated camera demo is what I wish Ok Google could do almost a decade ago.",NEGATIVE,0.998136043548584
24,OpenAI is savage!! They released theirs a day before😂😂😂,NEGATIVE,0.9873197078704834
25,One suggestion. &quot;Show. Don&#39;t tell.&quot;,NEGATIVE,0.9929882884025574
26,I&#39;m so happy that OpenAI has intensified the AI competition and made so many resources available for free!,POSITIVE,0.9995105266571045
27,"Gemini should include avery feature the google assistant had. You cant set timers, can`t access smart feature like smart lights or chromecast, etc... If they want to replace the google assistant, they should include everything the assistant can do. Sorry for the rant :é",NEGATIVE,0.9994993209838867
28,"Man, never thought I’d see the day where google just turned into a boring corp like ibm",NEGATIVE,0.9948648810386658
29,"Just watched Open AI and came here, definitely OpenAI is ahead of you for now!",POSITIVE,0.9998352527618408
30,i used this to watch corn on brawl stars,NEGATIVE,0.9888916015625
31,I&#39;m commenting here on brawl stars!,NEGATIVE,0.9152060747146606
32,This is the most life changing video I have ever watched.  The plot is even more developed than before and I just love how it has all been pieced together.  Thank you The Gary Squad!,POSITIVE,0.9998099207878113
33,11/10 video would watch dankness again,NEGATIVE,0.9487898945808411
34,yoo pls part two,NEGATIVE,0.9112493395805359
35,Se puede jugar Fortnite dentro de Brawl Stars 💀💀,NEGATIVE,0.9855092167854309
36,order corn,NEGATIVE,0.9862907528877258
37,"Dafuq I just got this video as a ad, this is genious lmao😂",NEGATIVE,0.9968908429145813
38,Thx man you help me alot,POSITIVE,0.9940898418426514
39,GOOGIE.,NEGATIVE,0.9828822612762451
40,"Fantastic results. Should be up 4%, not down 2%.",POSITIVE,0.9997277855873108
41,Visa next?,NEGATIVE,0.932066023349762
42,Thank you  sir!😊,POSITIVE,0.999808132648468
43,"THanks, can you also do LVMH?",POSITIVE,0.9991058707237244
44,"You could have mentioned that the Operating cash flow decline y/y was due to the tax issues (I&#39;m sure you&#39;ve seen that line in the Cash Flow Statement).  If you take out tax provisions or expenses, the Operating Cash Flow would be better than the same Q year ago.  But you did point out the significant increase in the Investing Activity, that might explain the price drop after earnings.",NEGATIVE,0.7409626245498657
45,Thank you,POSITIVE,0.9998352527618408
46,"Would love to hear your thoughts on the crowdstrike situation. Stock is down 30%. There will obviously be impact from their bug, but is this an overreaction to an incident that will be forgotten in the near future?",NEGATIVE,0.9986629486083984
47,Thx ❤,NEGATIVE,0.8744489550590515
48,Visa if possible please and thank you,POSITIVE,0.9994993209838867
49,Go Alphabet!,POSITIVE,0.9095635414123535
50,"💝Please don&#39;t forget to like and subscribe if you appreciate what I do!<br>📌 Affiliate links (I get a commission if you register):<br>• Try Seeking Alpha Premium for free for 7 days and get a $25 discount on the annual plan: <a href=""https://www.seekingalpha.link/3LPDKC1/2QZRGT/"">https://www.seekingalpha.link/3LPDKC1/2QZRGT/</a><br>• For Europe/Australia - Join me on eToro: <a href=""https://med.etoro.com/B19645_A122700_TClick_SInvesting_With_Andrew.aspx"">https://med.etoro.com/B19645_A122700_TClick_SInvesting_With_Andrew.aspx</a><br><a href=""http://www.youtube.com/results?search_query=%23advert"">#advert</a>. eToro is a multi-asset investment platform. The value of your investments may go up or down. Your capital is at risk.<br><br>Here is a new Alphabet/Google (GOOG/GOOGL) stock analysis. In the face of a potential &quot;rotation&quot; from tech into dividend/value investments predominantly due to the Fed&#39;s potential 2024 rate cuts, we might soon be looking at opportunities in the sector. As always, we look into Google&#39;s financials, cash flows, buybacks and discuss more about the risk-reward before going through a valuation, my price target and conclusions.",NEGATIVE,0.9931967258453369
51,Exceptional analysis again! <br>Great work Andrew!,POSITIVE,0.9998605251312256
52,"Very high quality video as always Andrew, I think the market is also scared by the increase in Capex (basically doubled compared to last year) which could lower the FCF to say 55/60 billion and therefore with a P/FCF = 25 have a fair price of around 1400/1500 billion in capitalisation, which let&#39;s say is the price you also say in the video for your possible entry. What do you think Andrew about this increase in capex?",NEGATIVE,0.992331862449646
53,Hi <br>What&#39;s going on with stellantis? <br>Any thing change in the fundamental for you after last disaster quarter ?<br>Thanks,POSITIVE,0.982957661151886
54,Thank you for the video. At what price would you consider buying Amazon?,POSITIVE,0.7718505263328552
55,Pixel 9: <b>leaks</b><br>Google: fine ill do it myself,NEGATIVE,0.9991074204444885
56,October has never arrived this fast,NEGATIVE,0.9793083071708679
57,Something new that actually feels magical would be a 3.5mm audio jack &amp; expandable storage,POSITIVE,0.9969270825386047
58,"Wow can&#39;t believe it&#39;s October already, forgot to put up my Halloween decorations",NEGATIVE,0.9938927888870239
59,Soon MKBHD: So I&#39;ve been using the Pixel 9 Pro for the past 2 months...,NEGATIVE,0.9963805079460144
60,Wahoooo! It’s already that time of year?!,NEGATIVE,0.9849938154220581
61,"I feel like I just got my 8 pro and it becomes a thing of the past in 2 weeks. I hope it gets a good trade-in value, less than a 12-month life cycle for this phone.",NEGATIVE,0.9981359243392944
62,Can you finally enable the Call screen feature in Switzerland and other countries please ? ;-;,POSITIVE,0.6222911477088928
63,"<a href=""https://www.youtube.com/watch?v=OMVpP-Zam1A&amp;t=22"">0:22</a>, among us ?",NEGATIVE,0.9873560070991516
64,Loved the render quality on this one. Pixel 9 design seems to be even better than 8 and 7,POSITIVE,0.9991088509559631
65,I have 250 shares of AVGO for 151 a share. Will keep it for long.,POSITIVE,0.9860377907752991
66,"MU is already certified for NVDA HBM:<br>&#39;Yes, as of June 2024, Micron Technology Inc. has received certification from NVIDIA to produce HBM3e for its H200 line of AI chips. Micron&#39;s high-bandwidth memory (HBM) chips are used in NVIDIA&#39;s graphic processing units (GPUs) and are designed for AI and high-performance computing. Micron&#39;s HBM3E offers a bandwidth of more than 1.2 TB/s per placement, a pin speed of over 9.2 Gbps, and a capacity of 24 GB or 36 GB. It also consumes 30% less power than its competitors.&quot; -samsung is a 2nd stringer...",NEGATIVE,0.9980138540267944
